Edge Label,Good,Fisher Prices,New Prices,Capacity
e6,"V005_2, V005_2_dep",0.0,0.0,2.0
e7,"V005_2, V005_3",0.0,0.0,8.0
e8,"V004_1_dep, V002_10_arr",0.0,0.0,2.0
e9,"V004_1_arr, V004_1",0.0,0.0,1.0
e10,"V004_1, V004_1_dep",0.0,0.0,5.0
e11,"V004_1, V004_2",0.0,0.0,8.0
e12,"V004_2, V004_2_dep",0.0,0.0,5.0
e13,"V004_2, V004_3",0.0,0.0,8.0
e14,"V006_1_arr, V006_1",0.0,0.0,1.0
e15,"V006_1, V006_1_dep",0.0,0.0,4.0
e16,"V006_1, V006_2",0.0,0.0,8.0
e17,"V006_2, V006_2_dep",0.0,0.0,4.0
e18,"V006_2, V006_3",0.0,0.0,8.0
e19,"V007_1_dep, V002_39_arr",0.0,0.0,3.0
e20,"V007_1_arr, V007_1",0.0,0.0,1.0
e21,"V007_1, V007_1_dep",0.0,0.0,2.0
e22,"V007_1, V007_2",0.0,0.0,8.0
e23,"V007_2, V007_2_dep",0.0,0.0,2.0
e24,"V007_2, V007_3",0.0,0.0,8.0
e25,"V003_1_dep, V007_45_arr",0.0,0.0,5.0
e26,"V003_1_arr, V003_1",0.0,0.0,2.0
e27,"V003_1, V003_1_dep",0.0,0.0,1.0
e28,"V003_1, V003_2",0.0,0.0,8.0
e29,"V003_2, V003_2_dep",0.0,0.0,1.0
e30,"V003_2, V003_3",0.0,0.0,8.0
e31,"V002_1_dep, V006_25_arr",0.0,0.0,3.0
e32,"V002_1_dep, V007_39_arr",0.0,0.0,3.0
e33,"V002_1_arr, V002_1",0.0,0.0,1.0
e34,"V002_1, V002_1_dep",0.0,0.0,5.0
e35,"V002_1, V002_2",0.0,0.0,8.0
e36,"V002_2, V002_2_dep",0.0,0.0,5.0
e37,"V002_2, V002_3",0.0,0.0,8.0
e38,"V005_2_dep, V003_26_arr",0.0,0.0,4.0
e39,"V005_2_dep, V004_30_arr",0.0,0.0,5.0
e40,"V005_2_arr, V005_2",0.0,0.0,3.0
e41,"V005_3, V005_3_dep",0.0,0.0,2.0
e42,"V005_3, V005_4",0.0,0.0,8.0
e43,"V004_2_dep, V002_11_arr",0.0,0.0,2.0
e44,"V004_2_arr, V004_2",0.0,0.0,1.0
e45,"V004_3, V004_3_dep",0.0,0.0,5.0
e46,"V004_3, V004_4",0.0,0.0,8.0
e47,"V006_2_arr, V006_2",0.0,0.0,1.0
e48,"V006_3, V006_3_dep",0.0,0.0,4.0
e49,"V006_3, V006_4",0.0,0.0,8.0
e50,"V007_2_dep, V002_40_arr",0.0,0.0,3.0
e51,"V007_2_arr, V007_2",0.0,0.0,1.0
e52,"V007_3, V007_3_dep",0.0,0.0,2.0
e53,"V007_3, V007_4",0.0,0.0,8.0
e54,"V003_2_dep, V007_46_arr",0.0,0.0,5.0
e55,"V003_2_arr, V003_2",0.0,0.0,2.0
