Edge Label, Good, Fisher Prices, New Prices, Capacity
e96: V003_2_dep, V001_6_arr, 0.0, 0.0, 3.0

e97: V003_2_dep, V002_10_arr, 0.0, 0.0, 2.0

e98: V003_2_dep, V004_9_arr, 0.0, 0.0, 3.0

e99: V003_2_dep, V005_26_arr, 0.0, 0.0, 3.0

e100: V003_2_dep, V006_24_arr, 0.0, 0.0, 5.0

e101: V003_2_dep, V007_46_arr, 0.0, 0.0, 4.0

e102: V003_2_arr, V003_2, 0.0, 0.0, 3.0

e103: V003_3, V003_3_dep, 0.0, 0.0, 1.0

e104: V003_3, V003_4, 0.0, 0.0, 8.0

e105: V004_2_dep, V001_10_arr, 0.0, 0.0, 4.0

e106: V004_2_dep, V002_11_arr, 0.0, 0.0, 5.0

e107: V004_2_dep, V003_9_arr, 0.0, 0.0, 3.0

e108: V004_2_dep, V005_30_arr, 0.0, 0.0, 4.0

e109: V004_2_dep, V006_30_arr, 0.0, 0.0, 5.0

e110: V004_2_dep, V007_41_arr, 0.0, 0.0, 5.0

e111: V004_2_arr, V004_2, 0.0, 0.0, 1.0

e112: V004_3, V004_3_dep, 0.0, 0.0, 5.0

e113: V004_3, V004_4, 0.0, 0.0, 8.0

e114: V005_2_dep, V001_23_arr, 0.0, 0.0, 4.0

e115: V005_2_dep, V002_23_arr, 0.0, 0.0, 2.0

e116: V005_2_dep, V003_26_arr, 0.0, 0.0, 2.0

e117: V005_2_dep, V004_30_arr, 0.0, 0.0, 3.0

e118: V005_2_dep, V006_17_arr, 0.0, 0.0, 2.0

e119: V005_2_dep, V007_52_arr, 0.0, 0.0, 4.0

e120: V005_2_arr, V005_2, 0.0, 0.0, 1.0

e121: V005_3, V005_3_dep, 0.0, 0.0, 5.0

e122: V005_3, V005_4, 0.0, 0.0, 8.0

e123: V006_2_dep, V001_23_arr, 0.0, 0.0, 5.0

e124: V006_2_dep, V002_26_arr, 0.0, 0.0, 2.0

e125: V006_2_dep, V003_24_arr, 0.0, 0.0, 3.0

e126: V006_2_dep, V004_30_arr, 0.0, 0.0, 2.0

e127: V006_2_dep, V005_17_arr, 0.0, 0.0, 2.0

e128: V006_2_dep, V007_62_arr, 0.0, 0.0, 4.0

e129: V006_2_arr, V006_2, 0.0, 0.0, 1.0

e130: V006_3, V006_3_dep, 0.0, 0.0, 2.0

e131: V006_3, V006_4, 0.0, 0.0, 8.0

e132: V007_2_dep, V001_44_arr, 0.0, 0.0, 2.0

e133: V007_2_dep, V002_40_arr, 0.0, 0.0, 3.0

e134: V007_2_dep, V003_46_arr, 0.0, 0.0, 2.0

e135: V007_2_dep, V004_41_arr, 0.0, 0.0, 4.0

e136: V007_2_dep, V005_52_arr, 0.0, 0.0, 3.0

e137: V007_2_dep, V006_62_arr, 0.0, 0.0, 5.0

e138: V007_2_arr, V007_2, 0.0, 0.0, 2.0

e139: V007_3, V007_3_dep, 0.0, 0.0, 2.0

e140: V007_3, V007_4, 0.0, 0.0, 8.0

e141: V001_3_dep, V002_8_arr, 0.0, 0.0, 3.0

e142: V001_3_dep, V003_7_arr, 0.0, 0.0, 2.0

e143: V001_3_dep, V004_11_arr, 0.0, 0.0, 3.0

e144: V001_3_dep, V005_24_arr, 0.0, 0.0, 4.0

e145: V001_3_dep, V006_24_arr, 0.0, 0.0, 2.0

e146: V001_3_dep, V007_45_arr, 0.0, 0.0, 4.0

e147: V001_3_arr, V001_3, 0.0, 0.0, 1.0

e148: V001_4, V001_4_dep, 0.0, 0.0, 5.0

e149: V001_4, V001_5, 0.0, 0.0, 8.0

e150: V002_3_dep, V001_8_arr, 0.0, 0.0, 3.0

e151: V002_3_dep, V003_11_arr, 0.0, 0.0, 2.0

e152: V002_3_dep, V004_12_arr, 0.0, 0.0, 4.0

e153: V002_3_dep, V005_24_arr, 0.0, 0.0, 3.0

e154: V002_3_dep, V006_27_arr, 0.0, 0.0, 2.0

e155: V002_3_dep, V007_41_arr, 0.0, 0.0, 2.0

e156: V002_3_arr, V002_3, 0.0, 0.0, 2.0

e157: V002_4, V002_4_dep, 0.0, 0.0, 2.0

e158: V002_4, V002_5, 0.0, 0.0, 8.0

e159: V003_3_dep, V001_7_arr, 0.0, 0.0, 3.0

e160: V003_3_dep, V002_11_arr, 0.0, 0.0, 2.0

e161: V003_3_dep, V004_10_arr, 0.0, 0.0, 3.0

e162: V003_3_dep, V005_27_arr, 0.0, 0.0, 3.0

e163: V003_3_dep, V006_25_arr, 0.0, 0.0, 5.0

e164: V003_3_dep, V007_47_arr, 0.0, 0.0, 4.0

e165: V003_3_arr, V003_3, 0.0, 0.0, 3.0

e166: V003_4, V003_4_dep, 0.0, 0.0, 1.0

e167: V003_4, V003_5, 0.0, 0.0, 8.0

e168: V004_3_dep, V001_11_arr, 0.0, 0.0, 4.0

e169: V004_3_dep, V002_12_arr, 0.0, 0.0, 5.0

e170: V004_3_dep, V003_10_arr, 0.0, 0.0, 3.0

e171: V004_3_dep, V005_31_arr, 0.0, 0.0, 4.0

e172: V004_3_dep, V006_31_arr, 0.0, 0.0, 5.0

e173: V004_3_dep, V007_42_arr, 0.0, 0.0, 5.0

e174: V004_3_arr, V004_3, 0.0, 0.0, 1.0

e175: V004_4, V004_4_dep, 0.0, 0.0, 5.0

e176: V004_4, V004_5, 0.0, 0.0, 8.0

e177: V005_3_dep, V001_24_arr, 0.0, 0.0, 4.0

e178: V005_3_dep, V002_24_arr, 0.0, 0.0, 2.0

e179: V005_3_dep, V003_27_arr, 0.0, 0.0, 2.0

e180: V005_3_dep, V004_31_arr, 0.0, 0.0, 3.0

e181: V005_3_dep, V006_18_arr, 0.0, 0.0, 2.0

e182: V005_3_dep, V007_53_arr, 0.0, 0.0, 4.0

e183: V005_3_arr, V005_3, 0.0, 0.0, 1.0

e184: V005_4, V005_4_dep, 0.0, 0.0, 5.0

e185: V005_4, V005_5, 0.0, 0.0, 8.0

e186: V006_3_dep, V001_24_arr, 0.0, 0.0, 5.0

e187: V006_3_dep, V002_27_arr, 0.0, 0.0, 2.0

e188: V006_3_dep, V003_25_arr, 0.0, 0.0, 3.0

e189: V006_3_dep, V004_31_arr, 0.0, 0.0, 2.0

e190: V006_3_dep, V005_18_arr, 0.0, 0.0, 2.0

e191: V006_3_dep, V007_63_arr, 0.0, 0.0, 4.0

e192: V006_3_arr, V006_3, 0.0, 0.0, 1.0

e193: V006_4, V006_4_dep, 0.0, 0.0, 2.0

e194: V006_4, V006_5, 0.0, 0.0, 8.0

e195: V007_3_dep, V001_45_arr, 0.0, 0.0, 2.0

e196: V007_3_dep, V002_41_arr, 0.0, 0.0, 3.0

e197: V007_3_dep, V003_47_arr, 0.0, 0.0, 2.0

e198: V007_3_dep, V004_42_arr, 0.0, 0.0, 4.0

e199: V007_3_dep, V005_53_arr, 0.0, 0.0, 3.0

e200: V007_3_dep, V006_63_arr, 0.0, 0.0, 5.0

e201: V007_3_arr, V007_3, 0.0, 0.0, 2.0

e202: V007_4, V007_4_dep, 0.0, 0.0, 2.0

e203: V007_4, V007_5, 0.0, 0.0, 8.0

e204: V001_4_dep, V002_9_arr, 0.0, 0.0, 3.0

e205: V001_4_dep, V003_8_arr, 0.0, 0.0, 2.0

e206: V001_4_dep, V004_12_arr, 0.0, 0.0, 3.0

e207: V001_4_dep, V005_25_arr, 0.0, 0.0, 4.0

e208: V001_4_dep, V006_25_arr, 0.0, 0.0, 2.0

e209: V001_4_dep, V007_46_arr, 0.0, 0.0, 4.0

e210: V001_4_arr, V001_4, 0.0, 0.0, 1.0

e211: V001_5, V001_5_dep, 0.0, 0.0, 5.0

e212: V001_5, V001_6, 0.0, 0.0, 8.0

e213: V002_4_dep, V001_9_arr, 0.0, 0.0, 3.0

e214: V002_4_dep, V003_12_arr, 0.0, 0.0, 2.0

e215: V002_4_dep, V004_13_arr, 0.0, 0.0, 4.0

e216: V002_4_dep, V005_25_arr, 0.0, 0.0, 3.0

e217: V002_4_dep, V006_28_arr, 0.0, 0.0, 2.0

e218: V002_4_dep, V007_42_arr, 0.0, 0.0, 2.0

e219: V002_4_arr, V002_4, 0.0, 0.0, 2.0

e220: V002_5, V002_5_dep, 0.0, 0.0, 2.0

e221: V002_5, V002_6, 0.0, 0.0, 8.0

e222: V003_4_dep, V001_8_arr, 0.0, 0.0, 3.0

e223: V003_4_dep, V002_12_arr, 0.0, 0.0, 2.0

e224: V003_4_dep, V004_11_arr, 0.0, 0.0, 3.0

e225: V003_4_dep, V005_28_arr, 0.0, 0.0, 3.0

e226: V003_4_dep, V006_26_arr, 0.0, 0.0, 5.0

e227: V003_4_dep, V007_48_arr, 0.0, 0.0, 4.0

e228: V003_4_arr, V003_4, 0.0, 0.0, 3.0

e229: V003_5, V003_5_dep, 0.0, 0.0, 1.0

e230: V003_5, V003_6, 0.0, 0.0, 8.0

e231: V004_4_dep, V001_12_arr, 0.0, 0.0, 4.0

e232: V004_4_dep, V002_13_arr, 0.0, 0.0, 5.0

e233: V004_4_dep, V003_11_arr, 0.0, 0.0, 3.0

e234: V004_4_dep, V005_32_arr, 0.0, 0.0, 4.0

e235: V004_4_dep, V006_32_arr, 0.0, 0.0, 5.0

e236: V004_4_dep, V007_43_arr, 0.0, 0.0, 5.0

e237: V004_4_arr, V004_4, 0.0, 0.0, 1.0

e238: V004_5, V004_5_dep, 0.0, 0.0, 5.0

e239: V004_5, V004_6, 0.0, 0.0, 8.0

e240: V005_4_dep, V001_25_arr, 0.0, 0.0, 4.0

e241: V005_4_dep, V002_25_arr, 0.0, 0.0, 2.0

e242: V005_4_dep, V003_28_arr, 0.0, 0.0, 2.0

e243: V005_4_dep, V004_32_arr, 0.0, 0.0, 3.0

e244: V005_4_dep, V006_19_arr, 0.0, 0.0, 2.0

e245: V005_4_dep, V007_54_arr, 0.0, 0.0, 4.0

