Allocations,Indices,Edge Information,Goods Lists,Sample and Int Allocations,Deconflicted Allocations,Utility,Budget,Payment
1.1837121311931678,195.0,,"('V001_11', 'V001_12')",1.0,"('V001_11', 'V001_12')",0.0,340.6651914450698,10.399162672003511
1.3673146724219165,214.0,,"('V001_12', 'V001_13')",1.0,"('V001_12', 'V001_13')",0.0,,
1.5506900189900596,233.0,,"('V001_13', 'V001_14')",1.0,"('V001_13', 'V001_14')",0.0,,
1.733705779717462,252.0,,"('V001_14', 'V001_15')",1.0,"('V001_14', 'V001_15')",0.0,,
1.9162108796380453,271.0,,"('V001_15', 'V001_16')",1.0,"('V001_15', 'V001_16')",0.0,,
2.098036429237084,290.0,,"('V001_16', 'V001_17')",1.0,"('V001_16', 'V001_17')",0.0,,
2.2790031325989286,309.0,,"('V001_17', 'V001_18')",1.0,"('V001_17', 'V001_18')",0.0,,
2.458935758205024,328.0,,"('V001_18', 'V001_19')",1.0,"('V001_18', 'V001_19')",0.0,,
2.6376824727942516,347.0,,"('V001_19', 'V001_20')",1.0,"('V001_19', 'V001_20')",0.0,,
2.8151330918647037,366.0,,"('V001_20', 'V001_21')",1.0,"('V001_20', 'V001_21')",0.0,,
2.9912273089808625,385.0,,"('V001_21', 'V001_22')",1.0,"('V001_21', 'V001_22')",0.0,,
3.1659445487253657,404.0,,"('V001_22', 'V001_23')",1.0,"('V001_22', 'V001_23')",0.0,,
2.4418451005386155,423.0,,"('V001_23', 'V001_24')",0.0,"('V001_23', 'V001_23_dep')",0.0,,
0.8974282511211648,422.0,,"('V001_23', 'V001_23_dep')",1.0,"('V001_23_dep', 'V003_27_arr')",0.0,,
1.7173641060900122,442.0,,"('V001_24', 'V001_25')",0.0,"('V003_27', 'V003_28')",0.0,,
0.8955361052005593,441.0,,"('V001_24', 'V001_24_dep')",0.0,"('V003_27_arr', 'V003_27')",0.0,,
0.9726181897850456,461.0,,"('V001_25', 'V001_26')",0.0,"('V003_28', 'V003_29')",0.0,,
0.9123190237817018,460.0,,"('V001_25', 'V001_25_dep')",0.0,"('V003_29', 'V003_30')",0.0,,
0.41563490875364173,480.0,,"('V001_26', 'V001_27')",0.0,"('V003_30', 'V003_31')",0.0,,
0.7197303645196671,479.0,,"('V001_26', 'V001_26_dep')",0.0,"('V003_31', 'V003_32')",0.0,,
-4.959815848552161e-08,499.0,,"('V001_27', 'V001_28')",0.0,"('V003_32', 'V003_33')",0.0,,
0.5762104989397739,498.0,,"('V001_27', 'V001_27_dep')",0.0,"('V003_33', 'V003_34')",0.0,,
0.04715791929103666,518.0,,"('V001_28', 'V001_29')",0.0,"('V003_34', 'V003_35')",0.0,,
