Allocations,Indices,Edge Information,Goods Lists,Sample and Int Allocations,Deconflicted Allocations,Utility,Budget,Payment
1.2130341642439781,495.0,,"('V002_21', 'V002_22')",1.0,"('V002_21', 'V002_22')",0.0,225.06172846056552,12.45938112896221
1.4257472973402165,520.0,,"('V002_22', 'V002_23')",1.0,"('V002_22', 'V002_23')",0.0,,
1.637827139333257,545.0,,"('V002_23', 'V002_24')",1.0,"('V002_23', 'V002_24')",0.0,,
1.848977434370943,570.0,,"('V002_24', 'V002_25')",1.0,"('V002_24', 'V002_25')",0.0,,
2.058920702030403,595.0,,"('V002_25', 'V002_26')",1.0,"('V002_25', 'V002_26')",0.0,,
2.2673898883696295,620.0,,"('V002_26', 'V002_27')",1.0,"('V002_26', 'V002_27')",0.0,,
2.4740917988080495,645.0,,"('V002_27', 'V002_28')",1.0,"('V002_27', 'V002_28')",0.0,,
2.678597931620248,670.0,,"('V002_28', 'V002_29')",1.0,"('V002_28', 'V002_29')",0.0,,
2.880046988968464,695.0,,"('V002_29', 'V002_30')",1.0,"('V002_29', 'V002_30')",0.0,,
3.07635684241923,720.0,,"('V002_30', 'V002_31')",1.0,"('V002_30', 'V002_31')",0.0,,
3.262155801163139,745.0,,"('V002_31', 'V002_32')",1.0,"('V002_31', 'V002_32')",0.0,,
3.4050958507808256,770.0,,"('V002_32', 'V002_33')",1.0,"('V002_32', 'V002_33')",0.0,,
2.676380462805712,795.0,,"('V002_33', 'V002_34')",1.0,"('V002_33', 'V002_34')",0.0,,
0.8597901380242715,794.0,,"('V002_33', 'V002_33_dep')",0.0,"('V002_34', 'V002_34_dep')",0.0,,
1.9234644093056623,820.0,,"('V002_34', 'V002_35')",0.0,"('V002_34_dep', 'V006_58_arr')",0.0,,
0.8793314236788059,819.0,,"('V002_34', 'V002_34_dep')",1.0,"('V006_58', 'V006_59')",0.0,,
1.237825461781362,845.0,,"('V002_35', 'V002_36')",0.0,"('V006_58_arr', 'V006_58')",0.0,,
0.8119667108232388,844.0,,"('V002_35', 'V002_35_dep')",0.0,"('V006_59', 'V006_60')",0.0,,
0.5980431905457233,870.0,,"('V002_36', 'V002_37')",0.0,"('V006_60', 'V006_61')",0.0,,
0.7666535849318857,869.0,,"('V002_36', 'V002_36_dep')",0.0,"('V006_61', 'V006_62')",0.0,,
-7.592472578369253e-08,895.0,,"('V002_37', 'V002_38')",0.0,"('V006_62', 'V006_63')",0.0,,
0.7253825195556618,894.0,,"('V002_37', 'V002_37_dep')",0.0,"('V006_63', 'V006_64')",0.0,,
0.04815762028622703,920.0,,"('V002_38', 'V002_39')",0.0,"('V006_64', 'V006_65')",0.0,,
0.0966341988888046,945.0,,"('V002_39', 'V002_40')",0.0,"('V006_65', 'V006_66')",0.0,,
0.14545217309423591,970.0,,"('V002_40', 'V002_41')",0.0,"('V006_66', 'V006_67')",0.0,,
0.1945176623025707,995.0,,"('V002_41', 'V002_42')",0.0,"('V006_67', 'V006_68')",0.0,,
0.243580276541351,1020.0,,"('V002_42', 'V002_43')",0.0,"('V006_68', 'V006_69')",0.0,,
0.2922002232401974,1045.0,,"('V002_43', 'V002_44')",0.0,"('V006_69', 'V006_70')",0.0,,
0.3397243038312529,1070.0,,"('V002_44', 'V002_45')",0.0,"('V006_70', 'V006_71')",0.0,,
0.3855204383823905,1095.0,,"('V002_45', 'V002_46')",0.0,"('V006_71', 'V006_72')",0.0,,
0.4292371030287935,1120.0,,"('V002_46', 'V002_47')",0.0,"('V006_72', 'V006_73')",0.0,,
0.4697556871634842,1145.0,,"('V002_47', 'V002_48')",0.0,"('V006_73', 'V006_74')",0.0,,
0.5046973519230835,1170.0,,"('V002_48', 'V002_49')",0.0,"('V006_74', 'V006_75')",0.0,,
0.5339348185659264,1195.0,,"('V002_49', 'V002_50')",0.0,"('V006_75', 'V006_76')",0.0,,
0.5571998920563795,1220.0,,"('V002_50', 'V002_51')",0.0,"('V006_76', 'V006_77')",0.0,,
0.5744360576666712,1245.0,,"('V002_51', 'V002_52')",0.0,"('V006_77', 'V006_78')",0.0,,
0.5857496923827233,1270.0,,"('V002_52', 'V002_53')",0.0,"('V006_78', 'V006_79')",0.0,,
0.5913428684506198,1295.0,,"('V002_53', 'V002_54')",0.0,"('V006_79', 'V006_80')",0.0,,
0.5914485338367242,1320.0,,"('V002_54', 'V002_55')",0.0,"('V006_80', 'V006_81')",0.0,,
0.5862862421685753,1345.0,,"('V002_55', 'V002_56')",0.0,"('V006_81', 'V006_82')",0.0,,
0.5760474260264102,1370.0,,"('V002_56', 'V002_57')",0.0,"('V006_82', 'V006_83')",0.0,,
0.560909875233612,1395.0,,"('V002_57', 'V002_58')",0.0,"('V006_83', 'V006_84')",0.0,,
0.5410746524296166,1420.0,,"('V002_58', 'V002_59')",0.0,"('V006_84', 'V006_85')",0.0,,
0.5168144690417459,1444.0,,"('V002_59', 'V002_60')",0.0,"('V006_85', 'V006_86')",0.0,,
0.4885193483571682,1468.0,,"('V002_60', 'V002_61')",0.0,"('V006_86', 'V006_87')",0.0,,
0.4567239208691063,1492.0,,"('V002_61', 'V002_62')",0.0,"('V006_87', 'V006_88')",0.0,,
0.42210339616897496,1516.0,,"('V002_62', 'V002_63')",0.0,"('V006_88', 'V006_89')",0.0,,
0.3854342235420785,1540.0,,"('V002_63', 'V002_64')",0.0,"('V006_89', 'V006_90')",0.0,,
0.3475298039696513,1563.0,,"('V002_64', 'V002_65')",0.0,"('V006_90', 'V006_91')",0.0,,
0.3091760487139956,1585.0,,"('V002_65', 'V002_66')",0.0,"('V006_91', 'V006_92')",0.0,,
0.2710973970041142,1607.0,,"('V002_66', 'V002_67')",0.0,"('V006_92', 'V006_93')",0.0,,
0.23397307597002517,1629.0,,"('V002_67', 'V002_68')",0.0,"('V006_93', 'V006_94')",0.0,,
0.19849489275731735,1651.0,,"('V002_68', 'V002_69')",0.0,"('V006_94', 'V006_95')",0.0,,
0.165423544081565,1673.0,,"('V002_69', 'V002_70')",0.0,"('V006_95', 'V006_96')",0.0,,
0.13558517349798632,1695.0,,"('V002_70', 'V002_71')",0.0,"('V006_96', 'V006_97')",0.0,,
0.10899126519346217,1717.0,,"('V002_71', 'V002_72')",0.0,"('V006_97', 'V006_98')",0.0,,
0.08541524659511743,1739.0,,"('V002_72', 'V002_73')",0.0,"('V006_98', 'V006_99')",0.0,,
0.06586109556706223,1761.0,,"('V002_73', 'V002_74')",0.0,"('V006_99', 'V006_100')",0.0,,
0.048785001066611766,1783.0,,"('V002_74', 'V002_75')",0.0,,0.0,,
0.033701373997092124,1804.0,,"('V002_75', 'V002_76')",0.0,,0.0,,
0.018217619511834617,1825.0,,"('V002_76', 'V002_77')",0.0,,0.0,,
1.8338768028158476e-09,1846.0,,"('V002_77', 'V002_78')",0.0,,0.0,,
3.781855443878598e-11,1866.0,,"('V002_78', 'V002_79')",0.0,,0.0,,
5.935500875126071e-11,1885.0,,"('V002_79', 'V002_80')",0.0,,0.0,,
6.113998458217275e-11,1904.0,,"('V002_80', 'V002_81')",0.0,,0.0,,
6.76434780248388e-11,1923.0,,"('V002_81', 'V002_82')",0.0,,0.0,,
6.90772115323417e-11,1942.0,,"('V002_82', 'V002_83')",0.0,,0.0,,
7.507667921562641e-11,1961.0,,"('V002_83', 'V002_84')",0.0,,0.0,,
7.961475170436977e-11,1980.0,,"('V002_84', 'V002_85')",0.0,,0.0,,
8.006562171809671e-11,1999.0,,"('V002_85', 'V002_86')",0.0,,0.0,,
7.806190967932426e-11,2018.0,,"('V002_86', 'V002_87')",0.0,,0.0,,
7.656724275434177e-11,2037.0,,"('V002_87', 'V002_88')",0.0,,0.0,,
7.433709928502701e-11,2056.0,,"('V002_88', 'V002_89')",0.0,,0.0,,
7.037060287491537e-11,2075.0,,"('V002_89', 'V002_90')",0.0,,0.0,,
6.54285019691511e-11,2094.0,,"('V002_90', 'V002_91')",0.0,,0.0,,
6.03677541158049e-11,2113.0,,"('V002_91', 'V002_92')",0.0,,0.0,,
5.556964808598722e-11,2132.0,,"('V002_92', 'V002_93')",0.0,,0.0,,
5.141719106816142e-11,2150.0,,"('V002_93', 'V002_94')",0.0,,0.0,,
4.801258775475356e-11,2168.0,,"('V002_94', 'V002_95')",0.0,,0.0,,
