Allocations,Indices,Edge Information,Goods Lists,Sample and Int Allocations,Deconflicted Allocations,Utility,Budget,Payment
1.1170190375633855,188.0,,"('V002_11', 'V002_12')",1.0,"('V002_11', 'V002_12')",0.0,329.27194681761205,44.16743972241835
1.233900926783723,207.0,,"('V002_12', 'V002_13')",1.0,"('V002_12', 'V002_13')",0.0,,
1.3505090214159454,226.0,,"('V002_13', 'V002_14')",1.0,"('V002_13', 'V002_14')",0.0,,
1.4667076198483668,245.0,,"('V002_14', 'V002_15')",1.0,"('V002_14', 'V002_15')",0.0,,
1.5823623092912247,264.0,,"('V002_15', 'V002_16')",1.0,"('V002_15', 'V002_16')",0.0,,
1.6973401766337275,283.0,,"('V002_16', 'V002_17')",1.0,"('V002_16', 'V002_17')",0.0,,
1.8115099094377902,302.0,,"('V002_17', 'V002_18')",1.0,"('V002_17', 'V002_18')",0.0,,
1.9247419178028273,321.0,,"('V002_18', 'V002_19')",1.0,"('V002_18', 'V002_19')",0.0,,
2.036908743360122,340.0,,"('V002_19', 'V002_20')",1.0,"('V002_19', 'V002_20')",0.0,,
2.147886066997085,359.0,,"('V002_20', 'V002_21')",1.0,"('V002_20', 'V002_21')",0.0,,
2.2575543174560018,378.0,,"('V002_21', 'V002_22')",1.0,"('V002_21', 'V002_22')",0.0,,
2.3657999288763154,397.0,,"('V002_22', 'V002_23')",1.0,"('V002_22', 'V002_23')",0.0,,
1.578627255634336,416.0,,"('V002_23', 'V002_24')",1.0,"('V002_23', 'V002_24')",0.0,,
0.8938867607001388,415.0,,"('V002_23', 'V002_23_dep')",0.0,"('V002_24', 'V002_25')",0.0,,
0.8221068307765458,435.0,,"('V002_24', 'V002_25')",1.0,"('V002_25', 'V002_26')",0.0,,
0.8607065871718997,434.0,,"('V002_24', 'V002_24_dep')",0.0,"('V002_26', 'V002_27')",0.0,,
0.6678238185540324,454.0,,"('V002_25', 'V002_26')",1.0,"('V002_27', 'V002_28')",0.0,,
0.2564741881537975,453.0,,"('V002_25', 'V002_25_dep')",0.0,"('V002_28', 'V002_29')",0.0,,
0.7694419432971364,473.0,,"('V002_26', 'V002_27')",1.0,"('V002_29', 'V002_30')",0.0,,
3.634452391723497e-08,472.0,,"('V002_26', 'V002_26_dep')",0.0,"('V002_30', 'V002_31')",0.0,,
0.8704510488165723,492.0,,"('V002_27', 'V002_28')",1.0,"('V002_31', 'V002_32')",0.0,,
3.869709560568366e-08,491.0,,"('V002_27', 'V002_27_dep')",0.0,"('V002_32', 'V002_33')",0.0,,
0.9707762003618415,511.0,,"('V002_28', 'V002_29')",1.0,"('V002_33', 'V002_34')",0.0,,
1.0702511679596842,530.0,,"('V002_29', 'V002_30')",1.0,"('V002_34', 'V002_35')",0.0,,
1.168699183403566,549.0,,"('V002_30', 'V002_31')",1.0,"('V002_35', 'V002_36')",0.0,,
1.266004550553177,568.0,,"('V002_31', 'V002_32')",1.0,"('V002_36', 'V002_37')",0.0,,
1.3621223283655555,587.0,,"('V002_32', 'V002_33')",1.0,"('V002_37', 'V002_38')",0.0,,
1.4570511573526286,606.0,,"('V002_33', 'V002_34')",1.0,"('V002_38', 'V002_39')",0.0,,
1.5508014827195544,625.0,,"('V002_34', 'V002_35')",1.0,"('V002_39', 'V002_40')",0.0,,
1.6433742096558444,644.0,,"('V002_35', 'V002_36')",1.0,"('V002_40', 'V002_41')",0.0,,
1.7347512017601352,663.0,,"('V002_36', 'V002_37')",1.0,"('V002_41', 'V002_42')",0.0,,
1.8248937381295016,682.0,,"('V002_37', 'V002_38')",1.0,"('V002_42', 'V002_43')",0.0,,
1.9137447855490395,701.0,,"('V002_38', 'V002_39')",1.0,"('V002_43', 'V002_44')",0.0,,
2.0012323555758647,720.0,,"('V002_39', 'V002_40')",1.0,"('V002_44', 'V002_45')",0.0,,
2.087272609062944,739.0,,"('V002_40', 'V002_41')",1.0,"('V002_45', 'V002_46')",0.0,,
2.1717722616622113,758.0,,"('V002_41', 'V002_42')",1.0,"('V002_46', 'V002_47')",0.0,,
2.2546302821819797,777.0,,"('V002_42', 'V002_43')",1.0,"('V002_47', 'V002_48')",0.0,,
2.3357390377941263,796.0,,"('V002_43', 'V002_44')",1.0,"('V002_48', 'V002_49')",0.0,,
2.4149850721567714,815.0,,"('V002_44', 'V002_45')",1.0,"('V002_49', 'V002_50')",0.0,,
2.492249688753746,834.0,,"('V002_45', 'V002_46')",1.0,"('V002_50', 'V002_51')",0.0,,
2.5674094883065557,853.0,,"('V002_46', 'V002_47')",1.0,"('V002_51', 'V002_52')",0.0,,
2.640336985909845,872.0,,"('V002_47', 'V002_48')",1.0,"('V002_52', 'V002_53')",0.0,,
2.7109014103333995,891.0,,"('V002_48', 'V002_49')",1.0,"('V002_53', 'V002_54')",0.0,,
