Auction Time,Edge Label,Good,Fisher Prices,New Prices,Capacity,End Capacity
1,e1228,"V003_69, V003_70",0.0,0.0,7.0,6.0
1,e1229,"V001_69_dep, V002_74_arr",0.0,0.0,3.0,3.0
1,e1230,"V001_69_arr, V001_69",0.0,0.0,2.0,2.0
1,e1231,"V001_70, V001_70_dep",0.0,0.0,1.0,1.0
1,e1232,"V001_70, V001_71",0.0,0.0,7.0,7.0
1,e1233,"V007_69_arr, V007_69",0.0,0.0,1.0,1.0
1,e1234,"V007_70, V007_70_dep",0.0,0.0,2.0,2.0
1,e1235,"V007_70, V007_71",0.0,0.0,7.0,7.0
1,e1236,"V002_69_arr, V002_69",0.0,0.0,1.0,1.0
1,e1237,"V002_70, V002_70_dep",0.0,0.0,5.0,5.0
1,e1238,"V002_70, V002_71",0.0,0.0,8.0,6.0
1,e1239,"V006_69_arr, V006_69",0.0,0.0,1.0,1.0
1,e1240,"V006_70, V006_70_dep",0.0,0.0,4.0,4.0
1,e1241,"V006_70, V006_71",0.0,0.0,8.0,8.0
1,e1242,"V003_69_dep, V006_91_arr",0.0,0.0,4.0,4.0
1,e1243,"V003_69_arr, V003_69",0.0,0.0,2.0,2.0
1,e1244,"V003_70, V003_70_dep",0.0,0.0,1.0,1.0
1,e1245,"V003_70, V003_71",0.0,0.0,7.0,6.0
1,e1246,"V001_70_dep, V002_75_arr",0.0,0.0,3.0,3.0
1,e1247,"V001_70_arr, V001_70",0.0,0.0,2.0,2.0
1,e1248,"V001_71, V001_71_dep",0.0,0.0,1.0,1.0
1,e1249,"V001_71, V001_72",0.0,0.0,7.0,7.0
1,e1250,"V007_70_arr, V007_70",0.0,0.0,1.0,1.0
1,e1251,"V007_71, V007_71_dep",0.0,0.0,2.0,2.0
1,e1252,"V007_71, V007_72",0.0,0.0,7.0,7.0
1,e1253,"V002_70_arr, V002_70",0.0,0.0,1.0,1.0
1,e1254,"V002_71, V002_71_dep",0.0,0.0,5.0,5.0
1,e1255,"V002_71, V002_72",0.0856728034434262,0.0856728034434262,8.0,6.0
1,e1256,"V006_70_arr, V006_70",0.0,0.0,1.0,1.0
1,e1257,"V006_71, V006_71_dep",0.0,0.0,4.0,4.0
1,e1258,"V006_71, V006_72",0.0,0.0,8.0,8.0
1,e1259,"V003_70_dep, V006_92_arr",0.0,0.0,4.0,4.0
1,e1260,"V003_70_arr, V003_70",0.0,0.0,2.0,2.0
1,e1261,"V003_71, V003_71_dep",0.0,0.0,1.0,1.0
1,e1262,"V003_71, V003_72",0.0,0.0,7.0,6.0
1,e1263,"V001_71_dep, V002_76_arr",0.0,0.0,3.0,3.0
1,e1264,"V001_71_arr, V001_71",0.0,0.0,2.0,2.0
1,e1265,"V001_72, V001_72_dep",0.0,0.0,1.0,1.0
1,e1266,"V001_72, V001_73",0.0,0.0,7.0,7.0
1,e1267,"V007_71_arr, V007_71",0.0,0.0,1.0,1.0
1,e1268,"V007_72, V007_72_dep",0.0,0.0,2.0,2.0
1,e1269,"V007_72, V007_73",0.0,0.0,7.0,7.0
1,e1270,"V002_71_arr, V002_71",0.0,0.0,1.0,1.0
1,e1271,"V002_72, V002_72_dep",0.0,0.0,5.0,5.0
1,e1272,"V002_72, V002_73",0.0,0.0,8.0,6.0
1,e1273,"V006_71_arr, V006_71",0.0,0.0,1.0,1.0
1,e1274,"V006_72, V006_72_dep",0.0,0.0,4.0,4.0
1,e1275,"V006_72, V006_73",0.0,0.0,8.0,8.0
1,e1276,"V003_71_dep, V006_93_arr",0.0,0.0,4.0,4.0
1,e1277,"V003_71_arr, V003_71",0.0,0.0,2.0,2.0
1,e1278,"V003_72, V003_72_dep",0.0,0.0,1.0,1.0
1,e1279,"V003_72, V003_73",0.0,0.0,7.0,6.0
1,e1280,"V001_72_dep, V002_77_arr",0.0,0.0,3.0,3.0
1,e1281,"V001_72_arr, V001_72",0.0,0.0,2.0,2.0
1,e1282,"V001_73, V001_73_dep",0.0,0.0,1.0,1.0
1,e1283,"V001_73, V001_74",0.0,0.0,7.0,7.0
1,e1284,"V007_72_arr, V007_72",0.0,0.0,1.0,1.0
1,e1285,"V007_73, V007_73_dep",0.0,0.0,2.0,2.0
1,e1286,"V007_73, V007_74",0.0,0.0,7.0,7.0
1,e1287,"V002_72_arr, V002_72",0.0,0.0,1.0,1.0
1,e1288,"V002_73, V002_73_dep",0.0,0.0,5.0,5.0
1,e1289,"V002_73, V002_74",0.0,0.0,8.0,6.0
1,e1290,"V006_72_arr, V006_72",0.0,0.0,1.0,1.0
1,e1291,"V006_73, V006_73_dep",0.0,0.0,4.0,4.0
1,e1292,"V006_73, V006_74",0.0,0.0,8.0,8.0
1,e1293,"V003_72_dep, V006_94_arr",0.0,0.0,4.0,4.0
1,e1294,"V003_72_arr, V003_72",0.0,0.0,2.0,2.0
1,e1295,"V003_73, V003_73_dep",0.0,0.0,1.0,1.0
1,e1296,"V003_73, V003_74",0.0,0.0,7.0,6.0
1,e1297,"V001_73_dep, V002_78_arr",0.0,0.0,3.0,3.0
1,e1298,"V001_73_arr, V001_73",0.0,0.0,2.0,2.0
1,e1299,"V001_74, V001_74_dep",0.0,0.0,1.0,1.0
1,e1300,"V001_74, V001_75",0.0,0.0,7.0,7.0
1,e1301,"V007_73_arr, V007_73",0.0,0.0,1.0,1.0
1,e1302,"V007_74, V007_74_dep",0.0,0.0,2.0,2.0
1,e1303,"V007_74, V007_75",0.0,0.0,7.0,7.0
1,e1304,"V002_73_arr, V002_73",0.0,0.0,1.0,1.0
1,e1305,"V002_74, V002_74_dep",0.0,0.0,5.0,5.0
1,e1306,"V002_74, V002_75",0.0,0.0,8.0,6.0
1,e1307,"V006_73_arr, V006_73",0.0,0.0,1.0,1.0
1,e1308,"V006_74, V006_74_dep",0.0,0.0,4.0,4.0
1,e1309,"V006_74, V006_75",0.0,0.0,8.0,8.0
1,e1310,"V003_73_dep, V006_95_arr",0.0,0.0,4.0,4.0
1,e1311,"V003_73_arr, V003_73",0.0,0.0,2.0,2.0
1,e1312,"V003_74, V003_74_dep",0.0,0.0,1.0,1.0
1,e1313,"V003_74, V003_75",0.0,0.0,7.0,6.0
1,e1314,"V001_74_dep, V002_79_arr",0.0,0.0,3.0,3.0
1,e1315,"V001_74_arr, V001_74",0.0,0.0,2.0,2.0
1,e1316,"V001_75, V001_75_dep",0.0,0.0,1.0,1.0
1,e1317,"V001_75, V001_76",0.0,0.0,7.0,7.0
1,e1318,"V007_74_arr, V007_74",0.0,0.0,1.0,1.0
1,e1319,"V007_75, V007_75_dep",0.0,0.0,2.0,2.0
1,e1320,"V007_75, V007_76",0.0,0.0,7.0,7.0
1,e1321,"V002_74_arr, V002_74",0.0,0.0,1.0,1.0
1,e1322,"V002_75, V002_75_dep",0.0,0.0,5.0,5.0
1,e1323,"V002_75, V002_76",0.0,0.0,8.0,6.0
1,e1324,"V006_74_arr, V006_74",0.0,0.0,1.0,1.0
1,e1325,"V006_75, V006_75_dep",0.0,0.0,4.0,4.0
1,e1326,"V006_75, V006_76",0.0,0.0,8.0,8.0
